CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
1043587;BOTA PLUS ENKEL+VELCRO SK RE L;Enkel en hiel;18.61;21.90;-0.15;0.18
2156677;MCDAVID LIGHTWEIGHT ANKLE BRACE WHITE S 199;Enkel en hiel;40.76;47.95;-0.15;0.18
1050087;RAFYS PATELLA BRACE COMPLEET NEOP. BLAUW M 555;Knie;93.06;103.40;-0.10;0.11
2451383;ULTRAMEAL PLUS 360 VANILLE POT 728G METAGENICS;Eiwitten;41.39;45.99;-0.10;0.11
3057148;MEDICHOL Q10 PLUS TABL 90 CFR 3466562;Tonica;32.29;37.99;-0.15;0.18
3142734;L ARGININE 500 CAPS 60 PHARMANUTRICS;Uithouding;18.70;22.00;-0.15;0.18
2158848;MCDAVID ANKLE BRACE ELASTIC BLACK S 511;Enkel en hiel;11.86;13.95;-0.15;0.18
1597087;CREATINE COMPLEX 250G;Melkzuurpreventie;32.30;38.00;-0.15;0.18
2665388;FE COMPLEX MINERALS BE LIFE NF GEL 60;Ijzer;12.51;13.90;-0.10;0.11
2397016;MAGNE-PURE COMP 60;Magnesium;11.16;13.13;-0.15;0.18
1480417;L-CARNITINE CAPS 60X500MG NF DEBA;Uithouding;27.96;32.90;-0.15;0.18
1543420;RIBOSE PDR OPLOSBAAR 100G DEBA;Tonica;24.65;29.00;-0.15;0.18
3136785;PRO WHEY CHOCOLADE NF PDR 21PORT.16698 METAGENICS;Eiwitten;39.59;43.99;-0.10;0.11
2767739;ETIXX RECOVERY + ENERGY SPORT BAR PEANUT 12X40G;Uithouding;19.99;24.99;-0.20;0.25
1694579;PSB SPORT BRACE KNEE T4;Knie;82.45;97.00;-0.15;0.18
2363786;ACTIMOVE WRIST WRAP L/XL 7341607;Pols, hand en duim;13.39;15.75;-0.15;0.18
1496926;MAKE MY DAY CITROEN PDR OPLOSBAAR 1200G DEBA;Vochtbalans;17.62;23.50;-0.25;0.33
2186179;ZEE MAGNESIUM BLISTER COMP 60 FITOFORM;Magnesium;15.44;18.17;-0.15;0.18
