CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2994580;PARANIX DUO LOTION + AFTER SHAMPOO;Haarverzorging;15.26;17.95;-0.15;0.18
2562171;BIODERMA PHOTODERM AFTER SUN MELK 200ML;After sun;12.92;15.20;-0.15;0.18
3092541;LISANDRA COSMENAIL VAO MINI 112 VERT BRONZE 5ML;Nagels;4.21;4.95;-0.15;0.18
2062115;KNEIPP MASSAGE OLIE AMANDEL 100ML;Verzorging lichaam;8.49;9.99;-0.15;0.18
3162831;AVENE HOMME AFTERSHAVE BALSEM NF 75ML;Voor of na het scheren;12.70;16.50;-0.23;0.30
3341740;AVENE LOTION MICELLAIRE 200ML;Reinigen;11.93;15.50;-0.23;0.30
3048402;STOKOLAN CLASSIC PARF TUBE 100ML;Droge handen;5.64;6.64;-0.15;0.18
2193316;BETA CAROTENE CAPS 120 DEBA;Zonnebank;25.75;30.30;-0.15;0.18
3032216;EYE CARE VAO PERFECTION 1303 BLANC NACRE 5ML;Nagels;10.92;12.85;-0.15;0.18
2032225;VICHY PT REINIGING INTEGRAAL 3IN1 300ML;Reinigen;12.20;15.25;-0.20;0.25
3197373;AVENE HYDRANCE PERFECTEUR TEINT RIJK IP30 TB 40ML;Dag- en nachtcrème;16.94;22.00;-0.23;0.30
2951622;LIERAC HYDRA CHRONO LIPPENBALSEM FONDANT ROSE 4,5G;Lippen;12.75;15.00;-0.15;0.18
3066990;LRP ANTHELIOS LAIT COMPACT IP50+ 40ML;Baby en/of kind;10.00;12.50;-0.20;0.25
2213015;EUBOS SENSITIVE HAND REPAIR & CARE DISPENSER 100ML;Droge handen;9.18;10.80;-0.15;0.18
3238029;SEBIACLEAR EAU MICELLAIR FL 400ML;Acné-huid;11.55;12.83;-0.10;0.11
2034890;LRP ROSALIAC UV (EX-XL) 40ML;Dag- en nachtcrème;16.16;20.20;-0.20;0.25
1279611;GEHWOL BESCHERMOLIE NAGEL+HUID 15ML;Nagels en tenen;9.73;11.45;-0.15;0.18
3207222;DUCRAY KERACNYL CONTROL CREME 30ML;Acné-huid;13.17;15.50;-0.15;0.18
3376928;BIODERMA SENSIBIO H20 MICEL. OPL DOSEERPOMP 500ML;Reinigen;18.12;21.32;-0.15;0.18
2580447;MUSTELA BB DERMO REINIGER NF + POMP 500ML;Bad en douche;10.45;12.30;-0.15;0.18
2047884;SEADERM ZEEP EXFOLIEREND 150G;Bad en douche;8.98;9.45;-0.05;0.05
2897155;APIVITA COLOR HAAR N6.3 WALNOOT -PPD;Haarverzorging;16.11;18.95;-0.15;0.18
35014;DERMAGOR CR DERMATO COLLAGEN 40ML;Dag- en nachtcrème;20.14;23.70;-0.15;0.18
2897270;APIVITA COLOR HAAR N7.47 BEIGE KOPER -PPD;Haarverzorging;16.11;18.95;-0.15;0.18
3237609;LAINO BLOESEMWATER ORANJEBLOESEM 250ML;Reinigen;5.91;6.95;-0.15;0.18
2988566;KORRES KM NAIL COLOUR 59 DARK RED 10ML;Nagels;7.65;9.00;-0.15;0.18
3356516;OENOBIOL MOOIE TEINT CAPS 30;Bruinen zonder zon;19.46;22.90;-0.15;0.18
2399038;NEOSTRATA BIONIC FACE CREAM 40G;Beschadigde en geirriteerde huid;34.85;41.00;-0.15;0.18
1283589;PROZALIPS BAUME 5 ML 6%;Lippen;6.12;7.20;-0.15;0.18
3244282;DUCRAY SENSINOL LICH.MELK FYSIOBESCH.KALMEREN400ML;Verzorging lichaam;18.27;21.50;-0.15;0.18
3255841;ERYFOTONA AK-FLUID 100+ 50ML;Lichaam en gelaat;24.65;29.00;-0.15;0.18
3032471;Eye Care Vao Perfection 1329 Anthracite 5ml;Nagels;14.65;15.43;-0.05;0.05
2108322;EUCERIN LIP REPAIR 10ML;Lippen;5.01;5.90;-0.15;0.18
2033413;VICHY DERCOS SH A/ROOS DROOG HAAR 200ML;Haarverzorging;10.60;13.25;-0.20;0.25
1633148;VISMED BEVOCHTIGEN OGEN 0,18% FL 60 X 0,3ML;Ogen;23.59;27.75;-0.15;0.18
679019;BLOC MEN PRE SHAVE STICK ZWART 50G;Voor of na het scheren;9.31;10.95;-0.15;0.18
2735868;Eye Care Lippotlood 29 Cognac;Lippen;12.41;13.07;-0.05;0.05
2652584;DERMALEX BODYMILK 250ML;Verzorging lichaam;11.47;13.50;-0.15;0.18
2868107;CLIC&GO STAAFJES KOORTSBLAASJES 12;Lippen;5.91;6.95;-0.15;0.18
866350;PETROLE HAHN LOT BLEU/ BLAUW 300ML;Haarverzorging;7.21;8.48;-0.15;0.18
2743144;APIVITA EXPRESS OOGDOEKJES DOUBLE PADS ROSE 6;Reinigen;4.58;5.39;-0.15;0.18
3237617;LAINO BLOESEMWATER HAMAMELIS 250ML;Reinigen;5.91;6.95;-0.15;0.18
3066255;CCS VERA LIP CONDITIONER 5ML 4163;Lippen;3.35;3.94;-0.15;0.18
3014164;DERMOLIN DEO ANTI TRANSPIRANT SPRAY NF 150ML;Verstuiver;5.06;5.95;-0.15;0.18
3420528;DERMALEX ZUIVERENDE REINIGINGSGEL 200ML;Reinigen;10.16;11.95;-0.15;0.18
3056181;AVENE CLEANANCE MAT LOTION 200ML;Acné-huid;11.16;14.50;-0.23;0.30
2845584;DETTOLCOSMETIC HYGIENISCHE DOEKJES 1X15;Ontsmetting en zeep;2.54;2.99;-0.15;0.18
78402;SAPO DEO ROLL-ON Z/ALCOHOL 50ML;Lotion en roller;4.08;4.80;-0.15;0.18
1495001;EYE CARE LINER 701 NOIR;Ogen;10.62;12.50;-0.15;0.18
3237997;SEBIACLEAR CICAPEEL GEL TBE 15ML;Reinigen;10.39;11.54;-0.10;0.11
2087047;URIAGE ROSELIANE DERMO REINIGING 250ML;Roodheid verzorging;11.93;14.04;-0.15;0.18
1413202;LUIZENKAM PLASTIEK BEIGE EUROLABOR;Haarverzorging;4.84;5.70;-0.10;0.18
2393775;KORRES KB DOUCHEGEL FIG 250ML;Bad en douche;9.31;10.95;-0.15;0.18
2933257;SEBAMED WASTABLET ZEEPVRIJ GEV H 150G;Bad en douche;3.21;3.78;-0.15;0.18
3112125;NEOSTRATA SKIN ACTIVE INTENSIVE EYE THERAPY 15G;Ogen;61.20;72.00;-0.15;0.18
2456317;EYE CARE FDT CREME CAMEL 26G;Gezicht;19.12;22.50;-0.15;0.18
2620029;Xerial 50 Extreme Voetcreme Tube 40ml;Droge voeten;13.86;16.31;-0.05;0.18
2074672;YZOAR FUN LIPSTICK KIND FRAMBOOS 3,5G;Lippen;2.74;3.05;-0.10;0.11
3110061;DEUMAVAN INTIEME ZALF LAVENDEL TUBE 25ML;Verzorging lichaam;5.84;6.15;-0.05;0.05
2380087;EYE CARE OOGPOTLOOD TURQUOISE 716;Ogen;10.62;12.50;-0.15;0.18
2330900;XLOR SCHEERFLUIDUM AFT.SHAVE 2IN1 ALOE VERA15+30ML;Voor of na het scheren;22.01;25.90;-0.15;0.18
1495407;EYE CARE OOGSCHADUW SOLO CHAMPAGNE 00090;Ogen;13.77;16.20;-0.15;0.18
2128148;BIODERMA PHOTODERM SPOT TUBE 30ML;Pigmentvlekken;17.08;20.09;-0.15;0.18
1274265;AQUAGENA ZEEP GEV HUID 100G;Bad en douche;3.31;3.90;-0.15;0.18
2731941;AVENE AKERAT 30 CREME PSORIAS 100ML;Verzorging lichaam;10.39;13.50;-0.23;0.30
2948602;APIVITA SPRAY LOTION HAARTUITVAL VROUW 150ML;Haarverzorging;25.46;29.95;-0.15;0.18
882027;GEHWOL BALSEM VOETEN 75ML;Zweetvoeten;7.27;8.55;-0.15;0.18
3167343;URIAGE BARIESUN MELK DOREE ZELFBRUINER 100ML;Verzorging lichaam;12.66;14.90;-0.15;0.18
2036259;VICHY HOMME DEO A/TRANSP. 72U ROLLER 50ML;Lotion en roller;9.72;12.15;-0.20;0.25
3048261;STOKOLAN SENSITIVE TUBE 100ML;Droge handen;5.64;6.64;-0.15;0.18
2754612;EUCERIN HYALURON FILLER DAGCREME DH 50ML;Dag- en nachtcrème;25.50;30.00;-0.15;0.18
3007002;KORRES KB BODY SCRUB MINT TEA 150ML;Bad en douche;16.06;18.90;-0.15;0.18
3118148;DUCRAY SQUANORM SH DROGE SCHILFERS NF 200ML;Haarverzorging;10.62;12.50;-0.15;0.18
2741536;APIVITA CLEANSING SCHUIM CR REINIG. GEZ.&OOG 200ML;Ogen;12.06;14.19;-0.15;0.18
2801736;KORRES KM LIPBUTTER STICK MANDARIN COLOURLESS 5ML;Lippen;9.13;10.15;-0.10;0.11
3231982;APIVITA NATUURLIJKE ZEEP JASMIJN 125G;Bad en douche;4.04;4.75;-0.15;0.18
2743169;APIVITA EXPRESS OOGMASKER A/RIMPEL DRUIF 2X2ML;Masker en serum;2.90;3.41;-0.15;0.18
3180338;SOMATOLINE COSM.AFSLANKEND 50+ 150ML;Verzorging lichaam;36.97;43.50;-0.15;0.18
2387272;LIERAC EXCLUSIVE PREMIUM EX CR A/RIMPEL POT 50ML;Dag- en nachtcrème;93.50;110.00;-0.15;0.18
2806552;ARTELAC SPLASH SOL 10ML;Ogen;14.03;14.77;-0.05;0.05
2901239;DUCRAY MELASCREEN ECLAT CREME LICHT IP15 40ML;Pigmentvlekken;22.69;26.70;-0.15;0.18
2936003;AKILEINE CR NUTRI HERSTEL. DROGE VOETEN TUBE 100ML;Droge voeten;12.32;14.50;-0.15;0.18
2324366;AKILEINE ROOD BADZOUT VOETEN ZAKJE 2X150G 101220;Vermoeide voeten;10.45;12.30;-0.15;0.18
1789239;GALENCO BADSCHUIM NEW FOREST 1L;Bad en douche;5.94;6.99;-0.15;0.18
3180577;WELEDA LAVENDEL ONTSPANNINGSBAD 100ML VERV.2139517;Bad en douche;7.47;8.79;-0.15;0.18
3191509;KORRES KM EYE PENCIL VOLCANIC MINER.08 BLUE;Ogen;10.33;12.15;-0.15;0.18
3081908;ROC PRO-SUBLIME CR A/RIMPEL OOGCONTOUR REVIT.15ML;Ogen;22.06;25.95;-0.15;0.18
2881894;VICHY DERCOS SH VOEDEND&HERSTELLEND 200ML;Haarverzorging;10.60;13.25;-0.20;0.25
2599728;FDC HUIZINGA CREME 100ML;Verzorging lichaam;8.69;10.22;-0.15;0.18
