CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2979524;EMPOWER DRUPPELS FL 20ML;Energiegebrek;15.30;18.00;-0.15;0.18
2851574;HERBAMOL 514 RELIEVE 250ML;Spieren en gewrichten;25.65;28.50;-0.10;0.11
3180635;BACHBLOESEM BIO N09 CLEMATIS 20ML;Desinteresse in nu;9.31;10.95;-0.15;0.18
2584779;BIOTOOP FYTOCOMPLEX 111 250ML;Afslanken;26.79;28.20;-0.05;0.05
1695121;BIOSTAR PROMANIL CAPS 60;Mannelijke problemen;16.11;18.95;-0.15;0.18
2117992;ORTIS TONIVEN COMP 72X440MG;Maag en darmen;16.97;19.97;-0.15;0.18
1310903;ARNISTICK STICK ANTI COUPS 10ML;Spieren en gewrichten;5.43;6.39;-0.15;0.18
3046463;GANODERMAX 250 CAPS 30;Winterkwalen en weerstand;15.39;18.11;-0.15;0.18
461749;DENOLIN THEE BLOEDZUIVEREND S.F. 20;Zuiveringskuur;4.49;5.28;-0.15;0.18
3180718;BACHBLOESEM BIO N15 HOLLY 20ML;Overgevoeligheid;9.31;10.95;-0.15;0.18
1686989;GINSENG IL HWA ZUIVER EXTRACT GEL 30 X 200MG;Energiegebrek;21.59;25.40;-0.15;0.18
2732329;DWERGSINAAS BIO ESS OLIE 10ML PRANAROM;Per klacht;5.30;6.24;-0.15;0.18
2686715;VITANZA HQ CARE-DO NF BLIST.TABL 30 VERV.2547-172;Hart en bloedvaten;25.07;29.50;-0.15;0.18
2572873;ARKOFLUIDE ARTISJOK AMP 20X15ML;Maag en darmen;12.11;14.25;-0.15;0.18
1752286;FYTOBELL JUGLANS REGIA UE 100ML;Winterkwalen en weerstand;13.81;16.25;-0.15;0.18
2228971;HERBALGEM ES MACERAAT 50ML;Figuur en huid;22.06;25.95;-0.15;0.18
3180460;BACHBLOESEM BIO N34 WATER VIOLET 20ML;Eenzaamheid;9.31;10.95;-0.15;0.18
2712230;ANDROPLANT COMP 100;Vrouwelijke problemen;18.70;22.00;-0.15;0.18
2600732;FYTOBELL CHLORELLA 1000MG TABL 100;Zuiveringskuur;25.46;29.95;-0.15;0.18
1222330;DYNACHOL COMP 60X400MG DYNAR;Maag en darmen;22.10;26.00;-0.15;0.18
1283738;FARMATINT BLOND MIEL/ HONING 9N;Huid, haren & nagels;11.73;13.80;-0.15;0.18
2548477;SAMBUCOL THE ORIGINAL 120ML NF;Winterkwalen en weerstand;11.01;12.95;-0.15;0.18
3148970;TILIA TOMENTOSA GEMMO D1 60ML BOIRON;Stress en slapeloosheid;10.16;11.95;-0.15;0.18
2937019;SUPER DIET MACA BIO COMP 90;Mannelijke problemen;13.35;15.71;-0.15;0.18
3066479;BAMBOU TABASHIR GEL 200;Spieren en gewrichten;22.95;27.00;-0.15;0.18
3139011;FEMINABIANE FLASH CAPS 6;Urinewegen;9.77;11.50;-0.15;0.18
3092053;BIOTONA MACA RAW POWDER 200G;Superfoods en anti-aging;10.62;12.50;-0.15;0.18
2994762;PHYTOSTANDARD GUARANA-RHODIOLA COMP 2X15;Mentale klachten;13.60;16.00;-0.15;0.18
2228542;HERBALGEM CORDIAGEM COMPLEX 15ML;Hart en bloedvaten;10.16;11.95;-0.15;0.18
1322361;LECITHINE FORT CAPS 100X1200MG DEBA;Mentale klachten;9.77;11.50;-0.15;0.18
3272416;HERBALGEM STOMAGEM SPIJSVERTERINGCOMFORT CPLX 15ML;Spijsvertering;10.16;11.95;-0.15;0.18
2139608;PARA MEMO GEL 60;Mentale klachten;30.60;36.00;-0.15;0.18
2086247;TISANE PROSTAAT 200G PLANT R;Thees;9.50;11.18;-0.15;0.18
479022;KNEIPP VOETBAD BRUISTABLETTEN 6;Huid, haren & nagels;5.95;7.00;-0.15;0.18
1076298;VOGEL DROSINULA SIROP 100ML;Winterkwalen en weerstand;7.19;8.99;-0.20;0.25
2511905;BLACK CURRENT SEED OIL BIOTICS CAPS 60;Spieren en gewrichten;27.98;32.92;-0.15;0.18
3180106;BACHBLOESEM BIO N01 AGRIMONY 20ML;Overgevoeligheid;9.31;10.95;-0.15;0.18
3222882;VEINOTONYL CAPS 30;Hart en bloedvaten;16.57;19.50;-0.15;0.18
2326213;VOGEL ALCHEMILLA GLUCOSAMINE GEWRICHTEN TABL 80;Spieren en gewrichten;23.99;29.99;-0.20;0.25
3128972;ARKO ESSENTIEL CITROEN 10ML;Per klacht;4.97;5.85;-0.15;0.18
2736205;HERBALGEM SIROOP ADEMHALING BIO KIND-VOLW 250ML;Winterkwalen en weerstand;10.62;12.50;-0.15;0.18
2537421;SEDOPHON ZONDER SUIKER ZUIGPASTILLES 50G;Winterkwalen en weerstand;4.83;5.68;-0.15;0.18
